phase,experiment,seed,mode,total_pallets,delivered,pending,total_delivery_time,avg_delivery,makespan,throughput,total_distance,battery_deaths,intermediate_received,intermediate_picked,conflicts,yields,relay_drops
P10,P10_light,154,REFERENCE,20,20,0,421,21.05,145,0.1379,407,0,0,0,0,0,0
P10,P10_light,155,ENHANCED,20,20,0,880,44.00,192,0.1042,659,0,2,2,4,4,2
P10,P10_light,155,REFERENCE,20,20,0,393,19.65,137,0.1460,407,0,0,0,0,0,0
P10,P10_light,156,ENHANCED,20,20,0,899,44.95,193,0.1036,696,0,4,4,5,5,4
P10,P10_light,156,REFERENCE,20,20,0,392,19.60,137,0.1460,407,0,0,0,0,0,0
P10,P10_light,157,ENHANCED,20,20,0,957,47.85,206,0.0971,708,0,5,5,4,4,5
P10,P10_light,157,REFERENCE,20,20,0,414,20.70,138,0.1449,407,0,0,0,0,0,0
P10,P10_light,158,ENHANCED,20,20,0,886,44.30,193,0.1036,671,0,2,2,2,2,2
P10,P10_light,158,REFERENCE,20,20,0,398,19.90,137,0.1460,407,0,0,0,0,0,0
P10,P10_light,159,ENHANCED,20,20,0,854,42.70,186,0.1075,659,0,3,3,3,3,3
P10,P10_light,159,REFERENCE,20,20,0,398,19.90,138,0.1449,407,0,0,0,0,0,0
P10,P10_normal,150,ENHANCED,50,50,0,4336,86.72,492,0.1016,1766,0,8,8,10,10,8
P10,P10_normal,150,REFERENCE,50,50,0,1064,21.28,329,0.1520,1037,0,0,0,0,0,0
P10,P10_normal,151,ENHANCED,50,50,0,4238,84.76,483,0.1035,1710,0,6,6,14,14,6
P10,P10_normal,151,REFERENCE,50,50,0,1028,20.56,329,0.1520,1037,0,0,0,0,0,0
P10,P10_normal,152,ENHANCED,50,50,0,3883,77.66,475,0.1053,1720,0,5,5,12,12,5
P10,P10_normal,152,REFERENCE,50,47,0,1008,21.45,1999,0.0235,1004,0,0,0,0,0,0
P10,P10_normal,153,ENHANCED,50,50,0,4297,85.94,497,0.1006,1735,0,7,7,18,18,7
P10,P10_normal,153,REFERENCE,50,50,0,1065,21.30,329,0.1520,1037,0,0,0,0,0,0
P10,P10_normal,154,ENHANCED,50,50,0,4094,81.88,479,0.1044,1703,0,5,5,7,7,5
P10,P10_normal,154,REFERENCE,50,50,0,1090,21.80,331,0.1511,1036,0,0,0,0,0,0
P10,P10_normal,155,ENHANCED,50,50,0,4355,87.10,486,0.1029,1728,0,9,9,12,12,9
P10,P10_normal,155,REFERENCE,50,50,0,1078,21.56,339,0.1475,1037,0,0,0,0,0,0
P10,P10_normal,156,ENHANCED,50,50,0,4674,93.48,493,0.1014,1754,0,10,10,17,17,10
P10,P10_normal,156,REFERENCE,50,50,0,1096,21.92,329,0.1520,1037,0,0,0,0,0,0
P10,P10_normal,157,ENHANCED,50,50,0,4835,96.70,518,0.0965,1793,0,12,12,22,22,12
P10,P10_normal,157,REFERENCE,50,50,0,1033,20.66,329,0.1520,1037,0,0,0,0,0,0
P10,P10_normal,158,ENHANCED,50,50,0,4076,81.52,490,0.1020,1712,0,5,5,18,18,5
P10,P10_normal,158,REFERENCE,50,50,0,1024,20.48,329,0.1520,1036,0,0,0,0,0,0
P10,P10_normal,159,ENHANCED,50,50,0,4384,87.68,488,0.1025,1740,0,8,8,12,12,8
P10,P10_normal,159,REFERENCE,50,50,0,1100,22.00,348,0.1437,1037,0,0,0,0,0,0
P10,P10_worstcase,150,ENHANCED,100,100,0,17747,177.47,990,0.1010,3674,0,24,24,34,34,24
P10,P10_worstcase,150,REFERENCE,100,79,0,1754,22.20,3999,0.0198,1713,0,0,0,0,0,0
P10,P10_worstcase,151,ENHANCED,100,100,0,21046,210.46,1060,0.0943,3880,0,29,29,58,58,29
P10,P10_worstcase,151,REFERENCE,100,63,0,1568,24.89,3999,0.0158,1724,0,0,0,0,0,0
P10,P10_worstcase,152,ENHANCED,100,100,0,19778,197.78,1030,0.0971,3758,0,22,22,40,40,22
P10,P10_worstcase,152,REFERENCE,100,75,0,1709,22.79,3999,0.0188,1664,0,0,0,0,0,0
P10,P10_worstcase,153,ENHANCED,100,100,0,19313,193.13,1017,0.0983,3744,0,26,26,51,51,26
P10,P10_worstcase,153,REFERENCE,100,92,0,2167,23.55,3999,0.0230,2038,0,0,0,0,0,0
P10,P10_worstcase,154,ENHANCED,100,100,0,19709,197.09,1042,0.0960,3832,0,29,29,58,58,29
P10,P10_worstcase,154,REFERENCE,100,96,0,2419,25.20,3999,0.0240,2071,0,0,0,0,0,0
P10,P10_worstcase,155,ENHANCED,100,100,0,20478,204.78,1043,0.0959,3821,0,28,28,61,61,28
P10,P10_worstcase,155,REFERENCE,100,51,0,1275,25.00,3999,0.0128,1531,0,0,0,0,0,0
P10,P10_worstcase,156,ENHANCED,100,100,0,20348,203.48,1032,0.0969,3803,0,30,30,46,46,30
P10,P10_worstcase,156,REFERENCE,100,67,0,1613,24.07,3999,0.0168,1626,0,0,0,0,0,0
P10,P10_worstcase,157,ENHANCED,100,100,0,21432,214.32,1054,0.0949,3820,0,28,28,82,82,28
P10,P10_worstcase,157,REFERENCE,100,68,0,1715,25.22,3999,0.0170,1760,0,0,0,0,0,0
P10,P10_worstcase,158,ENHANCED,100,100,0,20597,205.97,1022,0.0978,3742,0,26,26,53,53,26
P10,P10_worstcase,158,REFERENCE,100,97,0,2226,22.95,3999,0.0243,2084,0,0,0,0,0,0
P10,P10_worstcase,159,ENHANCED,100,100,0,21051,210.51,1060,0.0943,3794,0,27,27,54,54,27
P10,P10_worstcase,159,REFERENCE,100,96,0,2455,25.57,3999,0.0240,2097,0,0,0,0,0,0
